label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
S,0.0,0.0,0.0,-0.07295650243759155,-0.06161993741989136,-0.022816095099699396,-0.12192106246948242,-0.1722949743270874,-0.034194623649966616,-0.09725207090377808,-0.2738107740879059,-0.05017330643619289,-0.03705477714538574,-0.29028603434562683,-0.05775395926917781,-0.11795425415039062,-0.26374539732933044,0.012084243289280039,-0.12040337920188904,-0.3743123263120651,-0.033072715223681826,-0.10180473327636719,-0.2816604971885681,-0.05593545880998363,-0.09519186615943909,-0.23124024271965027,-0.06356162351454486,-0.06485509872436523,-0.2703804075717926,0.004230813524770838,-0.06061136722564697,-0.3771117776632309,-0.038054151059043306,-0.0542413592338562,-0.27192044258117676,-0.04365845915759792,-0.057701170444488525,-0.23512637615203857,-0.03470481705750217,-0.01199263334274292,-0.2616454064846039,-0.013089068763804335,-0.0019345879554748535,-0.3562316745519638,-0.05104227882708301,-0.007017850875854492,-0.2558867037296295,-0.0364381946333765,-0.015470266342163086,-0.212832510471344,-0.0139209400572895,0.039784371852874756,-0.2385537028312683,-0.033986987144601244,0.042587101459503174,-0.30954837799072266,-0.04699612554992427,0.03158479928970337,-0.24932819604873657,-0.02990420681322803,0.025204181671142578,-0.21336644887924194,-0.011369177670133013
S,0.0,0.0,0.0,-0.07230609655380249,-0.06217813491821289,-0.025986055732118984,-0.12171810865402222,-0.17120590806007385,-0.0396422751996397,-0.09794110059738159,-0.27230003476142883,-0.057301931903111836,-0.034673333168029785,-0.2931947410106659,-0.06615557603572597,-0.11810371279716492,-0.26767513155937195,0.008723132423710922,-0.12081465125083923,-0.37515461444854736,-0.038810004368770024,-0.10359019041061401,-0.2788124680519104,-0.06283677451347103,-0.09690198302268982,-0.23042535781860352,-0.07115382783149471,-0.06478643417358398,-0.2736371159553528,0.0009235558632099128,-0.06073296070098877,-0.3805670589208603,-0.04344683967565288,-0.056863367557525635,-0.2721811532974243,-0.04885515652631511,-0.05900317430496216,-0.23783954977989197,-0.039393731281506916,-0.01186680793762207,-0.2635830342769623,-0.0168767635527729,-0.001673877239227295,-0.3590170741081238,-0.05634587340091457,-0.009819984436035156,-0.25818535685539246,-0.041110277995812794,-0.017252802848815918,-0.21880173683166504,-0.018019094020473858,0.03968000411987305,-0.2384362518787384,-0.038642228469598194,0.04172801971435547,-0.30859145522117615,-0.05242296762799015,0.028142809867858887,-0.24637332558631897,-0.03492984630202045,0.022057712078094482,-0.2106788456439972,-0.016003533155071636
S,0.0,0.0,0.0,-0.0706486701965332,-0.06348681449890137,-0.024608788043281038,-0.12050327658653259,-0.1741878092288971,-0.03702836386861463,-0.09769231081008911,-0.275644987821579,-0.053589670881649454,-0.034584641456604004,-0.293531209230423,-0.06149445377292295,-0.1163613498210907,-0.27058035135269165,0.010291101448217432,-0.11822950839996338,-0.3776041269302368,-0.035391258969923456,-0.10068345069885254,-0.282367467880249,-0.058036512658020456,-0.09429335594177246,-0.23618164658546448,-0.06583157084884306,-0.06339132785797119,-0.276275098323822,0.002096628108972709,-0.05876874923706055,-0.3806420564651489,-0.04074386410417219,-0.05463355779647827,-0.273811936378479,-0.045475239828249414,-0.05818605422973633,-0.24183955788612366,-0.03595000781120916,-0.010277211666107178,-0.2661000192165375,-0.01588523291053434,0.00030237436294555664,-0.3606009781360626,-0.054308692887445886,-0.0070345401763916016,-0.25919294357299805,-0.03851067923011442,-0.015346348285675049,-0.22110393643379211,-0.015464221090098818,0.041671931743621826,-0.24049073457717896,-0.037696159407516916,0.04268157482147217,-0.3102661669254303,-0.050689286515137155,0.030636847019195557,-0.24705824255943298,-0.032573665455004175,0.02533555030822754,-0.21256113052368164,-0.013480061627944906
S,0.0,0.0,0.0,-0.0704042911529541,-0.06114780902862549,-0.026683990532490043,-0.11824840307235718,-0.1682456135749817,-0.04069357241127136,-0.09370997548103333,-0.267901211977005,-0.058247106770011214,-0.031097233295440674,-0.2889994978904724,-0.06728661681148651,-0.11321359872817993,-0.27040958404541016,0.007456021694508763,-0.11387819051742554,-0.3724353164434433,-0.03819548959467056,-0.09657353162765503,-0.27804747223854065,-0.06112097452017906,-0.09021821618080139,-0.23415130376815796,-0.06954911226961258,-0.059636592864990234,-0.2760430574417114,-0.0001767883167644868,-0.054446518421173096,-0.3759331852197647,-0.043312846371861724,-0.05101877450942993,-0.26966527104377747,-0.048749795803757934,-0.05533713102340698,-0.23990416526794434,-0.04014064992401245,-0.006798863410949707,-0.2654806673526764,-0.017546414086552886,0.004230380058288574,-0.35710448026657104,-0.056390790888997344,-0.003712296485900879,-0.2569579482078552,-0.04097268606159332,-0.012854576110839844,-0.22226542234420776,-0.01858017655644062,0.04461127519607544,-0.23958557844161987,-0.0388619440290654,0.04558360576629639,-0.30557042360305786,-0.05262638876769188,0.03368324041366577,-0.2423221468925476,-0.034716113159390716,0.027967453002929688,-0.21064543724060059,-0.01587997625205162
S,0.0,0.0,0.0,-0.07107818126678467,-0.05830007791519165,-0.024986614934391582,-0.12090528011322021,-0.16927438974380493,-0.03765919198770007,-0.09688273072242737,-0.2711431682109833,-0.05405037244338473,-0.03299915790557861,-0.28658193349838257,-0.06208495189923724,-0.1149255633354187,-0.268181174993515,0.006938364361189997,-0.11446461081504822,-0.3724977374076843,-0.0372323556758829,-0.09782189130783081,-0.2786870300769806,-0.05859478702325305,-0.09191963076591492,-0.23384541273117065,-0.06603447859663447,-0.06142067909240723,-0.2734583914279938,-0.0004060444435936006,-0.05700504779815674,-0.3754175007343292,-0.042684914074129665,-0.05273205041885376,-0.2697838544845581,-0.047123355320877636,-0.05660051107406616,-0.23669737577438354,-0.037530617318338955,-0.00852346420288086,-0.2637750208377838,-0.0170476413287588,0.0014532804489135742,-0.3553819805383682,-0.05481462319869479,-0.005186319351196289,-0.25516316294670105,-0.039283575020022,-0.013903617858886719,-0.21598505973815918,-0.016501504457778537,0.04319870471954346,-0.23980775475502014,-0.03738959272880038,0.04337203502655029,-0.3085900843143463,-0.05035735433477839,0.032288968563079834,-0.24737977981567383,-0.032982913307137096,0.02680140733718872,-0.21380755305290222,-0.014461023262924755
S,0.0,0.0,0.0,-0.0723094642162323,-0.05855947732925415,-0.026339337995011647,-0.12289845943450928,-0.162769615650177,-0.040456651543934186,-0.09926748275756836,-0.26395586133003235,-0.058181843554336865,-0.03466606140136719,-0.2891463041305542,-0.06760556886132463,-0.11550408601760864,-0.2648198902606964,0.007866882885139148,-0.11677736043930054,-0.3692779690027237,-0.037156591957170804,-0.09831029176712036,-0.2784559726715088,-0.06051637867625459,-0.09143450856208801,-0.23279660940170288,-0.06920067856248124,-0.0620761513710022,-0.27219587564468384,0.0008004986362379896,-0.05746805667877197,-0.37477006018161774,-0.04238714540537103,-0.05203205347061157,-0.2710716426372528,-0.04892771208818658,-0.05626589059829712,-0.23603445291519165,-0.040704163556654294,-0.009609699249267578,-0.2634471654891968,-0.015784018506963093,-0.00010448694229125977,-0.3546852320432663,-0.0541822675817798,-0.00539398193359375,-0.2566828727722168,-0.039949114268381436,-0.01404350996017456,-0.2174065113067627,-0.017950038259584744,0.04193609952926636,-0.239335298538208,-0.03618934268291696,0.04249465465545654,-0.3070073127746582,-0.05012155214484437,0.03202623128890991,-0.2463792860507965,-0.03325588891442521,0.026171386241912842,-0.2125924527645111,-0.014886199330646832
S,0.0,0.0,0.0,-0.07246097922325134,-0.059735238552093506,-0.023595178592358934,-0.12312987446784973,-0.1671287715435028,-0.036090649756943094,-0.09924805164337158,-0.2673487961292267,-0.052622526976620065,-0.034739673137664795,-0.2858859896659851,-0.061197385284458505,-0.11521318554878235,-0.2627308666706085,0.00831758687331785,-0.11753085255622864,-0.3662821501493454,-0.03535908097342144,-0.10002312064170837,-0.2759016454219818,-0.057424347940241205,-0.09278559684753418,-0.23088344931602478,-0.06557048866466175,-0.062466979026794434,-0.2696324586868286,-2.1536043050218723e-05,-0.05823934078216553,-0.3728594034910202,-0.042070761415516245,-0.05379080772399902,-0.2687259912490845,-0.04713816577509533,-0.05633729696273804,-0.23330560326576233,-0.03804000848845135,-0.010155081748962402,-0.2604603171348572,-0.01752473050669323,2.2530555725097656e-05,-0.35261839628219604,-0.055137977096592294,-0.006950974464416504,-0.25383108854293823,-0.04023749018028866,-0.014656245708465576,-0.2137954831123352,-0.017946500423704492,0.041104912757873535,-0.23593032360076904,-0.038667954597030985,0.041656553745269775,-0.3038269579410553,-0.052066624257122385,0.030135154724121094,-0.2426634132862091,-0.03489105412677418,0.025275230407714844,-0.2083066701889038,-0.016506768855606424
S,0.0,0.0,0.0,-0.0726783275604248,-0.057916998863220215,-0.02625809376252164,-0.12304553389549255,-0.15732091665267944,-0.04088103351307382,-0.10018545389175415,-0.25560370087623596,-0.05915807140183915,-0.0361863374710083,-0.2832385003566742,-0.06933030066204537,-0.11500930786132812,-0.262040913105011,0.007074327216173515,-0.11737868189811707,-0.3605809062719345,-0.037594247135643855,-0.10032433271408081,-0.26981157064437866,-0.060519851270441904,-0.09330704808235168,-0.22672542929649353,-0.06923899379683007,-0.06193655729293823,-0.2687225043773651,-0.0004821745015988199,-0.05854165554046631,-0.3678286075592041,-0.04357119229746331,-0.05437690019607544,-0.26365622878074646,-0.04982448694420327,-0.057258784770965576,-0.2306167483329773,-0.041623632881169215,-0.009633004665374756,-0.25904858112335205,-0.0174611336470889,-0.0005188584327697754,-0.348089799284935,-0.05677453753662576,-0.00736767053604126,-0.249476820230484,-0.04289532405448426,-0.01541072130203247,-0.21166354417800903,-0.021035702425365344,0.04186129570007324,-0.23333021998405457,-0.0381623464555787,0.04266422986984253,-0.29764997959136963,-0.053371857378010645,0.030598580837249756,-0.23710155487060547,-0.03710757521105279,0.0240364670753479,-0.2043420672416687,-0.018970753523831263
S,0.0,0.0,0.0,-0.07202064990997314,-0.04903542995452881,-0.026269579990810143,-0.12850797176361084,-0.15620598196983337,-0.03790821203500627,-0.10663861036300659,-0.260288268327713,-0.05289355361372827,-0.04031860828399658,-0.2843779921531677,-0.059761744677132356,-0.11613506078720093,-0.262677401304245,0.008312608362132323,-0.11978596448898315,-0.3636004626750946,-0.034292039214676606,-0.1017974317073822,-0.2744428813457489,-0.0556805215171039,-0.09391146898269653,-0.22934433817863464,-0.06354433366567491,-0.06311193108558655,-0.2720489203929901,0.001974615747997177,-0.06140643358230591,-0.3706856518983841,-0.039280914454764115,-0.05588388442993164,-0.26641470193862915,-0.04353146323472856,-0.05725681781768799,-0.2308574914932251,-0.03365741366059183,-0.011073052883148193,-0.2628321945667267,-0.01395653163552879,-0.0033454298973083496,-0.35032787919044495,-0.05175978013784288,-0.00894993543624878,-0.2511919140815735,-0.03709250384480356,-0.015561401844024658,-0.21083110570907593,-0.0146728248661816,0.0403742790222168,-0.23768290877342224,-0.03372399577409624,0.04004848003387451,-0.30106061697006226,-0.0491478151968181,0.028752803802490234,-0.2404513955116272,-0.03364926645070909,0.0236966609954834,-0.20666778087615967,-0.015910087837880837
S,0.0,0.0,0.0,-0.07311391830444336,-0.05426853895187378,-0.022774262114182875,-0.1252669394016266,-0.15791159868240356,-0.035013384877458975,-0.1028643548488617,-0.2575116455554962,-0.05138719057919161,-0.040823519229888916,-0.2794424593448639,-0.06017666658641474,-0.11495232582092285,-0.2563026249408722,0.00621431251732929,-0.12025821208953857,-0.3609343320131302,-0.03726994594813959,-0.10267561674118042,-0.27125799655914307,-0.05922674363733904,-0.09524047374725342,-0.22394290566444397,-0.0674263720798649,-0.06260806322097778,-0.2652182877063751,-0.0022269389524467442,-0.06205493211746216,-0.3685154765844345,-0.04382459795357363,-0.05669710040092468,-0.2650684714317322,-0.0488496494877495,-0.05856004357337952,-0.22723692655563354,-0.04014935693027155,-0.010461390018463135,-0.2574935853481293,-0.019464807345286772,-0.004269123077392578,-0.3495054841041565,-0.05666132992388384,-0.009729325771331787,-0.2503736615180969,-0.04178083664061205,-0.016548633575439453,-0.20785179734230042,-0.019825374467984602,0.04117870330810547,-0.23400455713272095,-0.04019521525384562,0.03956401348114014,-0.2979375123977661,-0.054559528588072226,0.02785027027130127,-0.2377062439918518,-0.03848247206093447,0.022345304489135742,-0.20326486229896545,-0.020892807974234984
